Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   39161    80656      666    78698        0    74634       88       45        0       28        0        0       59735    100285   572050   215716        9        0        0        0        0        0 
   39198    80675      666    78698        0    74634       88       52        0       29        0        0       59735    100304   572035   215711       15        0        0        0        0        0 
   37287    81973     1183    79308        0    74634      112     2699        1      288        0        0       60697    101767   570771   215253     1253        0      620        0        0        0 
   37164    81981     1182    79369        0    74634      112      149        0       91        0        0       60700    101832   570740   215244       27        0        1        0        0        0 
   37193    81986     1182    79375        0    74634      112       42        0       20        0        0       60700    101843   570728   215242       12        0        0        0        0        0 
   37227    81989     1182    79377        0    74634      112       36        0       24        0        0       60700    101848   570722   215240        6        0        0        0        0        0 
   37215    81984     1182    79384        0    74634      112       57        0       22        0        0       60700    101850   570705   215232       17        0        0        0        0        0 
   37050    82094     1182    79504        0    74634      112      369        0       37        0        0       60700    102080   570443   215159      262        0        0        0        0        0 
   29553    81456     1273    79041        0    83481       28     2284        0     1654        0        0       60804    100966   567684   214786     2385        0       61        0        0        0 
   36057    82753     1273    79066        0    75688      315     1085        0     1028        0        0       60804    102288   567627   214762       37        0        0        0        0        0 
   35099    81926     1273    79302        0    77286      431     1584      414     1730        0        0       60804    101697   567426   214737      200        0        0        0        0        0 
   35599    82538     1279    80321        0    75402     1301     2061        0     1064       32        0       60810    103328   566664   214518      751        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   35019    82843     1289    81101        0    74777     1586 69224481   825085 55450777  4515798   493031       60821    104412   566603   214500  4606956 13037437  1272488    18420      244    23116 
   34625    82697     1315    81050        0    75404     1418     2104        7     1283        0        0       60849    104213   566214   214407      372        0        0        0        0        0 
   30619    84285     1309    81486        0    77567     1574      768        0      657        0        0       60851    106229   563413   214224     1008        0        0        0        0        0 
   29383    87481     1426    81561        0    75503     1556     2324        4     1754        0        0       60971    109497   563249   214182      144        0        5        0        0        0 
   29694    87217     1417    82287        0    74778     1594     1124        5      944        0        0       60962    109959   563173   214160       72        0        0        0        0        0 
   28735    86489     1642    83972        0    74679     1692     1808        0      908        0        0       61187    110916   562591   214006      581        0       31        0        0        0 
   28598    86452     1641    84148        0    74782     1704     1249        4      919        0        0       61186    111055   562436   213949      154        0        0        0        0        0 
   28891    86343     1643    84225        0    74490     1712      879        0      730        0        0       61188    111023   562387   213938       49        0        0        0        0        0 
   28949    86318     1643    84233        0    74450     1712      759        4      737        0        0       61188    111006   562382   213938        5        0        0        0        0        0 
   28528    86476     1663    84333        0    74726     1642     1572        4      950        0        0       61209    111263   562010   213777      371        0        1        0        0        0 
