Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    4104   101716     3252    97520        0    77138      802     1004        4      918        0        0       65422    137066   545150   205870        6        0        0        0        0        0 
    4198   101547     3252    97790        0    76966      718     1005        0      954        0        0       65422    137167   545140   205867       10        0        0        0        0        0 
    4151   101519     3253    97197        0    77516      894      780        0      759        0        0       65423    136546   545140   205867        0        0        0        0        0        0 
    3893   101350     3327    97007        0    78038      756      911        0      637        7        0       65497    136187   545122   205864       18        0        1        0        0        0 
    3920   101907     3328    97107        0    77398      854      236        0      212        0        0       65498    136844   545107   205861       15        0        0        0        0        0 
    3974   102281     3328    97582        0    76548     1138      619        0      612        0        0       65498    137693   545103   205859        4        0        0        0        0        0 
    7209   100503     3390    96836        0    75991      572     1060        1      696        0      462       65600    135129   544869   205716      229        0       66        0        0        0 
    6689   101324     3427    96288        0    76147      469     1054        0      808        0        0       65645    135394   544822   205700       41        0       14        0        0        0 
    6691   101007     3428    96581        0    76117      473      265        0      263        0        0       65646    135370   544822   205700        0        0        0        0        0        0 
    6664   102684     3428    96658        0    74487      521      727        0      655        0        0       65646    137124   544785   205684       37        0        0        0        0        0 
    6645   102653     3427    96691        0    74487      521       44        0       36        0        0       65645    137126   544781   205684        4        0        0        0        0        0 
    6432   102618     3591    96734        0    74487      521       56        0       38        0        0       65809    137134   544774   205682        7        0       28        0        0        0 
    6315   101350     3634    96885        0    75772      408     1833        0     1620        0       12       65875    135994   544628   205644      145        0       38        0        0        0 
    6351   101313     3634    96865        0    75772      381       47        0       36        0        0       65875    135937   544626   205644        2        0        0        0        0        0 
    6305   101383     3634    96899        0    75628      381       40        0       31        0        0       65875    136041   544620   205644        6        0        0        0        0        0 
    6341   101350     3635    96926        0    75628      381       29        0       21        0        0       65876    136035   544616   205644        4        0        0        0        0        0 
    6403   101346     3635    96932        0    75628      381      142        0       84        0        0       65876    136037   544592   205632       24        0        0        0        0        0 
    6795   101104     3635    96819        0    75628      381       34        0       31        0      128       65876    135682   544590   205632        2        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    6819   101081     3635    96813        0    75628      381 69376557   825698 55561709  4515982   497291       65876    135653   544588   205631  4626964 13037437  1277039    18441      316    23116 
    6741   101622     3635    96834        0    75052      381       34        0       24        0        0       65876    136215   544585   205630        3        0        0        0        0        0 
    6670   101477     3647    97047        0    75052      381      142        0       39        0        0       65888    136283   544520   205615       65        0        2        0        0        0 
    6026   101789     3810    97260        0    75052      381      703        0      609        0        0       66051    136808   544445   205582       65        0       78        0        0        0 
    6628   101477     3814    97024        0    75052      380       50        0       44        0      552       66056    136259   544443   205581        2        0        1        0        0        0 
    6604   101474     3814    97026        0    75052      380       39        0       23        0        0       66056    136258   544435   205577        8        0        0        0        0        0 
    6262   101469     3814    97023        0    75406      356       54        0       47        0        0       66056    136250   544432   205577        3        0        0        0        0        0 
    6295   101480     3814    97023        0    75406      356       41        0       27        0        0       66056    136261   544422   205575       10        0        0        0        0        0 
    6231   100870     3814    96683        0    76348      356       32        0       27        0        0       66056    135311   544420   205573        2        0        0        0        0        0 
    6231   102871     3814    97067        0    73965      684       57        0       50        0        0       66056    137696   544414   205572        6        0        0        0        0        0 
    6260   102840     3814    97098        0    73965      684       24        0       21        0        0       66056    137696   544411   205571        3        0        0        0        0        0 
    6301   102632     3814    97304        0    73965      684       38        0       29       28        0       66056    137694   544408   205569        3        0        0        0        0        0 
    5926   102400     4058    97642        0    73965      684      170        0       57        0        0       66346    137754   544370   205563       38        0      183        0        0        0 
    5865   102416     4058    97644        0    73965      684      109        0       46        0        0       66346    137772   544346   205555       24        0        0        0        0        0 
    5906   102415     4058    97643        0    73965      684       34        0       34        0        0       66346    137770   544346   205555        0        0        0        0        0        0 
    5910   102463     4077    97666        0    73965      684      121        0       32        0        0       66368    137838   544283   205540       63        0       14        0        0        0 
    5873   102753     4077    97696        0    73645      684       27        0       18        0        0       66368    138158   544280   205538        3        0        0        0        0        0 
    5875   102681     4077    97760        0    73645      684       54        0       40        0        0       66368    138150   544274   205536        6        0        0        0        0        0 
    5898   102495     4077    97667        0    73965      684      323        0      303        1        0       66369    137870   544267   205536        7        0        0        0        0        0 
    5835   102513     4077    97670        0    73965      684      531        0      516        6        0       66369    137891   544262   205534        5        0        0        0        0        0 
    5144   102330     4085    97501        0    74953      338     1339        4     1188        2        0       66378    137538   544202   205514       53        0        3        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    5262   102105     4085    97580        0    74987      162 69381343   825706 55565783  4516019   497843       66378    137392   544195   205511  4627340 13037437  1277320    18441      316    23116 
    5350   102199     4085    97512        0    74899      294      801        0      784        0        0       66378    137418   544193   205510        2        0        0        0        0        0 
    5470   102283     4085    97782        0    74348      578     1188        4     1106        0        0       66378    137772   544189   205509        4        0        0        0        0        0 
    5568   102258     4085    97773        0    74348      722      644        0      616        0        0       66378    137738   544186   205509        3        0        0        0        0        0 
    5465   102251     4085    97752        0    74526      738      424        0      399        0        0       66378    137710   544178   205504        8        0        0        0        0        0 
    4064   103279     4453    98109        0    74526      796     2210        0      701        0        0       66955    138886   543302   205216      876        0      364        0        0        0 
    3908   103358     4486    98119        0    74526      796      361        0      288        0        0       67023    138940   543275   205211       27        0       42        0        4        0 
    3774   104936     4486    98261        0    72904      796      323        0      221        0        0       67023    140660   543222   205206       53        0        0        0        0        0 
    3746   104904     4486    98296        0    72904      796       34        0       28        0        0       67023    140663   543218   205204        4        0        0        0        0        0 
    3762   104860     4486    98356        0    72904      796       87        0       80        0        0       67023    140679   543214   205204        4        0        0        0        0        0 
    4126   104366     4571    98687        0    72897      232      678        0      350        0      564       67109    140515   543086   204919      128        0        0        0        0        0 
    4348   104699     4570    98683        0    72381      232       29        0       28        0        0       67108    140844   543086   204919        0        0        0        0        0        0 
    4423   104562     4570    98818        0    72381      232       41        0       28        0        0       67108    140842   543081   204918        5        0        0        0        0        0 
    3742   105106     4584    99603        0    72381      232     1894        0      136        0        0       67128    142165   541859   204167     1221        0       20        0        0        0 
    3992   105132     4587    99600        0    72381      232      772        0       91        0      384       67132    142187   541457   203887      395        0        1        0        0        0 
    3965   105140     4587    99604        0    72381      232       51        0       34        0        0       67132    142199   541447   203887       10        0        0        0        0        0 
    4001   105132     4587    99605        0    72381      232       25        0       22        0        1       67132    142192   541446   203886        1        0        0        0        0        0 
    4024   105131     4587    99605        0    72381      232       22        0       16        0        0       67132    142191   541444   203886        2        0        0        0        0        0 
    4006   105116     4587    99604        0    72381      232       25        0       21        0        0       67132    142175   541441   203885        3        0        0        0        0        0 
    4029   105111     4587    99622        0    72381      232      160        0      151       26        0       67132    142188   541437   203884        4        0        0        0        0        0 
    3984   105131     4587    99622        0    72381      232      629        0      596        0        0       67132    142208   541426   203881       11        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    4018   105134     4587    99621        0    72381      232 69391774   825710 55571507  4516045   498792       67132    142210   541423   203881  4630104 13037437  1277747    18441      320    23116 
    3981   105157     4587    99621        0    72381      244       44        0       42        0        0       67132    142233   541422   203879        1        0        0        0        0        0 
    3700   104285     3143   100313        0    74608       30     4406      178     1781        3      287       66007    141734   540918   203506      500        0      319        3        0        0 
    3967   104176     2619   100587        0    74772       50     1813       78     1104        0       30       65509    141873   540864   203491       52        0       58        0        0        0 
